,heat demand
874,61.1902463
875,58.2402183
876,56.8111577
877,57.6847884
878,58.8645298
879,58.620557
880,62.3671516
881,63.6593733
882,62.9827789
883,62.9574359
884,61.1126008
885,53.9509257
886,48.1516979
887,43.3555467
888,49.0604614
889,50.5677071
890,54.2640346
891,59.0857102
892,71.2551865
893,85.5379948
894,92.509789
895,89.358538
896,85.4699127
897,81.8307867
898,77.471325
899,73.5532602
900,72.3310024
901,71.3018647
902,71.8486857
903,72.3782715
904,74.4968252
905,74.8690722
906,74.0066122
907,71.6071253
908,68.5383802
909,60.4627818
910,51.8432145
911,48.5281709
912,46.7976277
913,48.2183973
914,51.1095595
915,55.6504739
916,66.8763617
917,80.5864198
918,88.223721
919,85.2509903
920,81.3524325
921,77.4555538
922,73.2326806
923,70.0118184
924,68.2732887
925,67.3043336
926,67.9375379
927,68.7899759
928,69.2631958
929,68.9141261
930,68.1048876
931,67.4912588
932,63.7790307
933,56.2873931
934,48.387886
935,45.7177215
936,44.9187388
937,46.2837507
938,49.0535564
939,53.4104234
940,64.1814888
941,77.3809818
942,84.7487989
943,81.8837337
944,78.1385426
945,74.3993337
946,70.3468938
947,67.2540706
948,65.5858394
949,64.6564855
950,65.2660558
951,66.0868013
952,66.5534872
953,66.2300841
954,65.4589747
955,64.8713233
956,61.3096717
957,54.1119282
958,46.4933032
959,43.8980515
960,42.9563973
961,44.262016
962,46.9120463
963,51.0792894
964,61.3815273
965,73.9975292
966,81.02784
967,78.2921461
968,74.71225
969,71.1365851
970,67.2614431
971,64.3040095
972,62.7087978
973,61.8199203
974,62.4021023
975,63.18605
976,63.6290879
977,63.3168531
978,62.5784568
979,62.0162287
980,58.6101769
981,51.7292321
982,44.4545683
983,41.9781115
984,43.7533364
985,45.3217089
986,47.0544135
987,51.129262
988,61.7500356
989,77.1216625
990,84.6411719
991,81.4739136
992,77.5558589
993,74.089575
994,70.09291
995,66.5989381
996,64.7325734
997,63.7058272
998,64.1979928
999,65.0096156
1000,65.5902276
1001,65.7226188
1002,65.2979972
1003,64.1664336
1004,60.9861582
1005,53.9915883
1006,45.7845167
1007,42.8688147
1008,48.355739
1009,50.5706915
1010,53.3159638
1011,58.0517429
1012,70.3631248
1013,87.9913737
1014,92.806127
1015,89.1185504
1016,83.8051448
1017,80.4568901
1018,77.7293838
1019,72.422449
1020,68.9182312
1021,67.9093154
1022,68.5871865
1023,70.5845153
1024,72.9804466
1025,73.6657864
1026,72.3756667
1027,70.899394
1028,70.0372332
1029,62.1443144
1030,53.1153575
1031,50.3433496
1032,52.2418778
1033,52.0397022
1034,57.8655135
1035,68.6263
1036,81.429428
1037,80.2950552
1038,84.8669149
1039,82.2514444
1040,78.2284393
1041,74.8483699
1042,73.1955306
1043,69.6630183
1044,67.9499331
1045,69.0042128
1046,70.4187707
1047,70.1180796
1048,74.6038413
1049,76.1412916
1050,75.3203854
1051,75.290253
1052,73.0838974
1053,64.5106906
1054,57.6225516
1055,51.9248338
1056,48.9050317
1057,50.4075621
1058,54.0919922
1059,58.8983569
1060,71.0291801
1061,85.2679331
1062,92.2183552
1063,89.0768522
1064,85.2004958
1065,81.5729238
1066,77.2273156
1067,73.3216661
1068,72.103265
1069,71.0774096
1070,71.6225371
1071,72.1505206
1072,74.2625653
1073,74.6338811
1074,73.7743221
1075,71.3825974
1076,68.3235763
1077,60.2734306
1078,51.6803584
1079,48.3748849
1080,46.6034192
1081,48.0183694
1082,50.8973417
1083,55.4193658
1084,66.5985606
1085,80.2533066
1086,87.8598709
1087,84.8991359
1088,81.0166953
1089,77.1360589
1090,72.9307688
1091,69.7232255
1092,67.991943
1093,67.0270367
1094,67.6576591
1095,68.5066317
1096,68.9783201
1097,68.6311083
1098,67.8254517
1099,67.2144216
1100,63.5176748
1101,56.056919
1102,48.1890276
1103,45.5286544
1104,38.0553432
1105,39.8221533
1106,43.0548717
1107,49.461346
1108,58.792089
1109,72.6038138
1110,80.1383045
1111,79.6052755
1112,72.9182317
1113,67.6691456
1114,63.2008328
1115,60.0920604
1116,58.2795648
1117,57.4840761
1118,57.064176
1119,57.528229
1120,59.2719058
1121,59.4780895
1122,60.1086863
1123,60.0966456
1124,56.9809243
1125,49.0288693
1126,40.8809339
1127,37.2296339
1128,26.2091066
1129,27.4334747
1130,29.643925
1131,34.0516414
1132,40.5042738
1133,50.1061895
1134,55.3556787
1135,54.9626551
1136,50.3555615
1137,46.732509
1138,43.6509818
1139,41.5030374
1140,40.258938
1141,39.7096556
1142,39.4298258
1143,39.7622989
1144,40.9822999
1145,41.1545437
1146,41.6025128
1147,41.604524
1148,39.4629541
1149,33.9747277
1150,28.2848597
1151,25.6853513
1152,21.6189095
1153,22.5354515
1154,23.9733704
1155,27.3189048
1156,32.5172648
1157,42.1347591
1158,46.940966
1159,46.6453982
1160,42.8366772
1161,39.7921573
1162,37.1469667
1163,35.1678278
1164,34.0138332
1165,33.5525276
1166,33.268981
1167,33.3285999
