time,x,y,lon,lat,temperature,T_supply
2022-01-10 23:00:00,11.75,48.25,11.75,48.25,1.4459534,70.0
2022-01-11 00:00:00,11.75,48.25,11.75,48.25,1.5023193,70.0
2022-01-11 01:00:00,11.75,48.25,11.75,48.25,1.1898193,70.0
2022-01-11 02:00:00,11.75,48.25,11.75,48.25,1.083374,70.0
2022-01-11 03:00:00,11.75,48.25,11.75,48.25,0.9608154,70.0
2022-01-11 04:00:00,11.75,48.25,11.75,48.25,0.5716858,70.0
2022-01-11 05:00:00,11.75,48.25,11.75,48.25,0.10803223,70.0
2022-01-11 06:00:00,11.75,48.25,11.75,48.25,-0.055358887,70.0
2022-01-11 07:00:00,11.75,48.25,11.75,48.25,-0.0025939941,70.0
2022-01-11 08:00:00,11.75,48.25,11.75,48.25,0.13546753,70.0
2022-01-11 09:00:00,11.75,48.25,11.75,48.25,0.6402893,70.0
2022-01-11 10:00:00,11.75,48.25,11.75,48.25,1.030304,70.0
2022-01-11 11:00:00,11.75,48.25,11.75,48.25,1.6427612,70.0
2022-01-11 12:00:00,11.75,48.25,11.75,48.25,2.0271301,70.0
2022-01-11 13:00:00,11.75,48.25,11.75,48.25,2.3926697,70.0
2022-01-11 14:00:00,11.75,48.25,11.75,48.25,2.3622742,70.0
2022-01-11 15:00:00,11.75,48.25,11.75,48.25,2.0241394,70.0
2022-01-11 16:00:00,11.75,48.25,11.75,48.25,1.6195068,70.0
2022-01-11 17:00:00,11.75,48.25,11.75,48.25,0.7878723,70.0
2022-01-11 18:00:00,11.75,48.25,11.75,48.25,0.4133606,70.0
2022-01-11 19:00:00,11.75,48.25,11.75,48.25,-0.39111328,70.0
2022-01-11 20:00:00,11.75,48.25,11.75,48.25,-0.5554199,70.0
2022-01-11 21:00:00,11.75,48.25,11.75,48.25,-1.636322,70.0
2022-01-11 22:00:00,11.75,48.25,11.75,48.25,-1.8769531,70.0
2022-01-11 23:00:00,11.75,48.25,11.75,48.25,-2.1987,70.0
2022-01-12 00:00:00,11.75,48.25,11.75,48.25,-1.9995117,70.0
2022-01-12 01:00:00,11.75,48.25,11.75,48.25,-2.6399841,70.0
2022-01-12 02:00:00,11.75,48.25,11.75,48.25,-2.8126526,70.0
2022-01-12 03:00:00,11.75,48.25,11.75,48.25,-2.764038,70.0
2022-01-12 04:00:00,11.75,48.25,11.75,48.25,-3.0583496,70.0
2022-01-12 05:00:00,11.75,48.25,11.75,48.25,-2.8558655,70.0
2022-01-12 06:00:00,11.75,48.25,11.75,48.25,-2.7354126,70.0
2022-01-12 07:00:00,11.75,48.25,11.75,48.25,-2.9787292,70.0
2022-01-12 08:00:00,11.75,48.25,11.75,48.25,-2.238037,70.0
2022-01-12 09:00:00,11.75,48.25,11.75,48.25,-2.021576,70.0
