,dec air heat pump,dec pellet boiler,dec ground heat pump
324,0.66665775,0.66665775,0.66665775
325,0.65983905,0.65983905,0.65983905
326,0.66214432,0.66214432,0.66214432
327,0.65729055,0.65729055,0.65729055
328,0.6657651,0.6657651,0.6657651
329,0.66822612,0.66822612,0.66822612
330,0.65870518,0.65870518,0.65870518
331,0.63345095,0.63345095,0.63345095
332,0.59489752,0.59489752,0.59489752
333,0.53975752,0.53975752,0.53975752
334,0.48018912,0.48018912,0.48018912
335,0.45346927,0.45346927,0.45346927
336,0.44402951,0.44402951,0.44402951
337,0.44561725,0.44561725,0.44561725
338,0.46479183,0.46479183,0.46479183
339,0.49613993,0.49613993,0.49613993
340,0.6092996,0.6092996,0.6092996
341,0.73188357,0.73188357,0.73188357
342,0.78591544,0.78591544,0.78591544
343,0.73948619,0.73948619,0.73948619
344,0.71391136,0.71391136,0.71391136
345,0.68664866,0.68664866,0.68664866
346,0.66838117,0.66838117,0.66838117
347,0.63817104,0.63817104,0.63817104
348,0.61660356,0.61660356,0.61660356
349,0.60804254,0.60804254,0.60804254
350,0.59432754,0.59432754,0.59432754
351,0.60293287,0.60293287,0.60293287
352,0.61574902,0.61574902,0.61574902
353,0.61507018,0.61507018,0.61507018
354,0.60964998,0.60964998,0.60964998
355,0.59925368,0.59925368,0.59925368
356,0.5752921,0.5752921,0.5752921
357,0.52446601,0.52446601,0.52446601
358,0.46322241,0.46322241,0.46322241
359,0.44363062,0.44363062,0.44363062
360,0.42529584,0.42529584,0.42529584
361,0.42313949,0.42313949,0.42313949
362,0.47165568,0.47165568,0.47165568
363,0.56072735,0.56072735,0.56072735
364,0.665431,0.665431,0.665431
365,0.64877727,0.64877727,0.64877727
366,0.68136737,0.68136737,0.68136737
367,0.66138513,0.66138513,0.66138513
368,0.62903748,0.62903748,0.62903748
369,0.60164247,0.60164247,0.60164247
370,0.5888152,0.5888152,0.5888152
371,0.56019121,0.56019121,0.56019121
372,0.54625844,0.54625844,0.54625844
373,0.55526307,0.55526307,0.55526307
374,0.56676028,0.56676028,0.56676028
375,0.56377735,0.56377735,0.56377735
376,0.60001001,0.60001001,0.60001001
377,0.61185914,0.61185914,0.61185914
378,0.60467499,0.60467499,0.60467499
379,0.60445452,0.60445452,0.60445452
380,0.58680096,0.58680096,0.58680096
381,0.51763302,0.51763302,0.51763302
382,0.46550163,0.46550163,0.46550163
383,0.42147201,0.42147201,0.42147201
384,0.38031968,0.38031968,0.38031968
385,0.3919201,0.3919201,0.3919201
386,0.42116059,0.42116059,0.42116059
387,0.45870875,0.45870875,0.45870875
388,0.55350792,0.55350792,0.55350792
389,0.66095712,0.66095712,0.66095712
