,heat demand
1055,57.8107993
1056,54.8706029
1057,56.5461149
1058,60.7594459
1059,66.1757863
1060,79.8503466
1061,95.3873825
1062,102.68398
1063,99.3015973
1064,95.000717
1065,90.9331447
1066,86.0525592
1067,81.6690232
1068,80.315671
1069,79.1566785
1070,79.7421633
1071,80.2927022
1072,82.5655231
1073,82.8695531
1074,81.8430451
1075,79.0934471
1076,75.6703557
1077,66.7152686
1078,57.495108
1079,54.1235908
1080,51.8621177
1081,53.4266473
1082,56.6864127
1083,61.7391026
1084,74.2284661
1085,89.0177394
1086,97.0433
1087,93.8820643
1088,89.6011624
1089,85.2728173
1090,80.5866094
1091,77.0305102
1092,75.1002635
1093,74.0193857
1094,74.6999942
1095,75.6156799
1096,76.0061463
1097,75.4947385
1098,74.5406885
1099,73.8469171
1100,69.7190786
1101,61.494286
1102,53.1402355
1103,50.5079133
1104,45.8646059
1105,47.2507935
1106,50.1248509
1107,54.5906257
1108,65.6295182
1109,78.7765857
1110,85.9295875
1111,83.1158473
1112,79.3255801
1113,75.5001916
1114,71.3577817
1115,68.2107899
1116,66.5048057
1117,65.5501116
1118,66.1546814
1119,66.9683638
1120,67.334003
1121,66.9008092
1122,66.0667096
1123,65.455441
1124,61.8078058
1125,54.5233945
1126,47.0776795
1127,44.6945376
1128,29.3091757
1129,30.6573352
1130,33.172585
1131,38.1118218
1132,45.2438611
1133,55.6786532
1134,61.2679532
1135,60.9315653
1136,55.8116918
1137,51.7981767
1138,48.3779086
1139,46.0036533
1140,44.5965649
1141,43.9857438
1142,43.6360011
1143,43.9604656
1144,45.2552802
1145,45.3404543
1146,45.800657
1147,45.7733989
1148,43.3762465
1149,37.2921884
1150,31.2302916
1151,28.5972844
1152,23.9686704
1153,24.9641287
1154,26.5842037
1155,30.2936416
1156,35.9818251
1157,46.4355625
1158,51.5387673
1159,51.2997729
1160,47.1040497
1161,43.7593922
1162,40.8455616
1163,38.6689264
1164,37.3722881
1165,36.8635461
1166,36.5162764
1167,36.5357728
