,biomethane boiler,large scale heat pump,TTES charge,TTES discharge,selling
1913,-0.0,-12.50900621290211,-0.0,-0.0,-0.0
1914,-0.0,-13.238303670480956,-0.0,-0.0,-0.0
1915,-0.0,-13.949404333973302,-0.0,-0.0,-0.0
1916,-0.0,-13.607870245772704,-0.0,-0.0,-0.0
1917,-0.0,-12.218972978012223,-0.0,-0.0,-0.0
1918,-0.0,-10.403097412025046,-0.0,-0.0,-0.0
1919,-0.0,-9.485644820958044,-0.0,-0.0,-0.0
1920,-0.0,-9.599265064292593,-0.0,-0.0,-0.0
1921,-0.0,-10.161005730829624,-0.0,-0.0,-0.0
1922,-0.0,-11.112654351160058,-0.0,-0.0,-0.0
1923,-0.0,-12.977413956417804,-0.0,-0.0,-0.0
1924,-0.0,-15.728055799724824,-0.0,-0.0,-0.0
1925,-0.0,-18.518503046811947,-0.0,-2.6967834714265067,-0.0
1926,-0.0,-18.518503046811947,-0.0,-8.241573347645733,-0.0
1927,-0.0,-18.518503046811947,-0.0,-7.1117066592990525,-0.0
1928,-0.0,-16.84956771503924,-0.0,-0.0,-0.0
1929,-0.0,-13.260365724134916,-0.0,-0.0,-0.0
1930,-0.0,-10.492973895200338,-0.0,-0.0,-0.0
1931,-0.0,-8.645665722134796,-0.0,-0.0,-0.0
1932,-0.0,-7.73149309945807,-0.0,-0.0,-0.0
1933,-0.0,-7.575350843858133,-0.0,-0.0,-0.0
1934,-0.0,-8.979181690266959,-3.8111505838505977,-0.0,-0.0
1935,-0.0,-8.78633468998398,-0.0,-0.0,-0.0
1936,-0.0,-10.119277723220923,-0.0,-0.0,-0.0
1937,-0.0,-11.138255006283288,-0.0,-0.0,-0.0
1938,-0.0,-11.945869047895567,-0.0,-0.0,-0.0
1939,-0.0,-12.919805693263148,-0.0,-0.0,-0.0
1940,-0.0,-12.935288501442392,-0.0,-0.0,-0.0
1941,-0.0,-11.511939540069514,-0.0,-0.0,-0.0
1942,-0.0,-9.74498474088095,-0.0,-0.0,-0.0
1943,-0.0,-9.246479802570654,-0.0,-0.0,-0.0
1944,-0.0,-8.388268732804413,-0.0,-0.0,-0.0
1945,-0.0,-8.821336629861683,-0.0,-0.0,-0.0
1946,-0.0,-9.706717940991558,-0.0,-0.0,-0.0
1947,-0.0,-11.22231910687887,-0.0,-0.0,-0.0
1948,-0.0,-13.548046350540696,-0.0,-0.0,-0.0
1949,-0.0,-17.2211573329738,-0.0,-0.0,-0.0
1950,-0.0,-18.518503046811947,-0.0,-2.381527550143055,-0.0
1951,-0.0,-18.518503046811947,-0.0,-1.424424941013669,-0.0
1952,-0.0,-14.643478938365739,-0.0,-0.0,-0.0
1953,-0.0,-11.231711398564453,-0.0,-0.0,-0.0
1954,-0.0,-8.637810236429637,-0.0,-0.0,-0.0
1955,-0.0,-7.052682466796623,-0.0,-0.0,-0.0
1956,-0.0,-6.279856483067377,-0.0,-0.0,-0.0
1957,-0.0,-6.155787705655734,-0.0,-0.0,-0.0
1958,-0.0,-6.527609916184335,-0.0,-0.0,-0.0
1959,-0.0,-7.365285980693513,-0.0,-0.0,-0.0
1960,-0.0,-8.647789619207286,-0.0,-0.0,-0.0
1961,-0.0,-9.710362309537462,-0.0,-0.0,-0.0
1962,-0.0,-10.552167421368441,-0.0,-0.0,-0.0
1963,-0.0,-11.774828063685788,-0.0,-0.0,-0.0
1964,-0.0,-11.705598054366364,-0.0,-0.0,-0.0
1965,-0.0,-10.419800675375834,-0.0,-0.0,-0.0
1966,-0.0,-8.932436110529657,-0.0,-0.0,-0.0
1967,-0.0,-8.169589128054916,-0.0,-0.0,-0.0
1968,-0.0,-7.727171354563759,-0.0,-0.0,-0.0
1969,-0.0,-8.274413629943792,-0.0,-0.0,-0.0
1970,-0.0,-9.244305108810575,-0.0,-0.0,-0.0
1971,-0.0,-10.804214263399079,-0.0,-0.0,-0.0
1972,-0.0,-13.066301892419693,-0.0,-0.0,-0.0
1973,-0.0,-16.235238796120523,-0.0,-0.0,-0.0
1974,-0.0,-17.970451194905444,-0.0,-0.0,-0.0
1975,-0.0,-17.278039348120437,-0.0,-0.0,-0.0
1976,-0.0,-12.981519530267319,-0.0,-0.0,-0.0
1977,-0.0,-9.81960013583415,-0.0,-0.0,-0.0
1978,-0.0,-7.404811683775404,-0.0,-0.0,-0.0
1979,-0.0,-5.956783279390086,-0.22284610888493006,-0.0,-0.0
1980,-0.0,-6.132084469347946,-3.482449230599123,-0.0,-0.0
1981,-0.0,-5.5439921638770855,-1.508718084016671,-0.0,-0.0
1982,-0.0,-7.0204521220390905,-5.479223930072038,-0.0,-0.0
1983,-0.0,-7.6012532270993045,-4.3685009542505355,-0.0,-0.0
1984,-0.0,-7.760063578615529,-0.0,-0.0,-0.0
1985,-0.0,-8.819130902906313,-0.0,-0.0,-0.0
1986,-0.0,-9.368615394346548,-0.0,-0.0,-0.0
1987,-0.0,-10.40597880837603,-0.0,-0.0,-0.0
1988,-0.0,-10.48303850835996,-0.0,-0.0,-0.0
1989,-0.0,-9.205717567225703,-0.0,-0.0,-0.0
1990,-0.0,-7.982927973418555,-0.0,-0.0,-0.0
1991,-0.0,-7.387793220058874,-0.0,-0.0,-0.0
1992,-0.0,-6.69439728099866,-0.0,-0.0,-0.0
1993,-0.0,-7.06031673940961,-0.0,-0.0,-0.0
1994,-0.0,-7.49941847013921,-0.0,-0.0,-0.0
1995,-0.0,-8.440440042196121,-0.0,-0.0,-0.0
1996,-0.0,-10.062455412186653,-0.0,-0.0,-0.0
1997,-0.0,-13.208431982061013,-0.0,-0.0,-0.0
1998,-0.0,-9.487733717613956,-0.0,-15.042307369044028,-0.0
1999,-0.0,-15.108525263065957,-0.0,-0.0,-0.0
2000,-0.0,-11.358262915873683,-0.0,-0.0,-0.0
2001,-0.0,-8.482094563234945,-0.0,-0.0,-0.0
2002,-0.0,-6.323698490975684,-0.0,-0.0,-0.0
2003,-0.0,-5.915035666207578,-3.376805304333274,-0.0,-0.0
2004,-0.0,-6.152754481614382,-6.746426167391395,-0.0,-0.0
2005,-0.0,-5.726785344013826,-5.28855762842716,-0.0,-0.0
2006,-0.0,-8.164880947030822,-12.782992048994592,-0.0,-0.0
2007,-0.0,-7.615008839006248,-7.630137080576258,-0.0,-0.0
2008,-0.0,-6.826174078096204,-0.0,-0.0,-0.0
2009,-0.0,-8.04281297163309,-0.0,-0.0,-0.0
2010,-0.0,-8.516310338097618,-0.0,-0.0,-0.0
2011,-0.0,-9.117245904755084,-0.0,-0.0,-0.0
2012,-0.0,-8.977740326087472,-0.0,-0.0,-0.0
2013,-0.0,-7.988181471352498,-0.0,-0.0,-0.0
2014,-0.0,-6.877619923260931,-0.0,-0.0,-0.0
2015,-0.0,-6.241068625729598,-0.0,-0.0,-0.0
2016,-0.0,-5.818493398540799,-0.0,-0.0,-0.0
2017,-0.0,-5.98137628436382,-0.0,-0.0,-0.0
2018,-0.0,-6.694243004406716,-0.0,-0.0,-0.0
2019,-0.0,-7.8150227980770595,-0.0,-0.0,-0.0
2020,-0.0,-9.495140466256343,-0.0,-0.0,-0.0
2021,-0.0,-12.035727979154863,-0.0,-0.0,-0.0
2022,-0.0,-13.264125560060645,-0.0,-0.0,-0.0
2023,-0.0,-12.537674752242047,-0.0,-0.0,-0.0
2024,-0.0,-9.484610844651245,-0.0,-0.0,-0.0
2025,-0.0,-6.919178498465897,-0.0,-0.0,-0.0
2026,-0.0,-7.17080785771767,-6.598310172191635,-0.0,-0.0
2027,-0.0,-7.602830811155381,-12.782992048994592,-0.0,-0.0
2028,-0.0,-6.417079379239304,-12.782992048994592,-0.0,-0.0
2029,-0.0,-6.382550225671617,-12.782992048994592,-0.0,-0.0
2030,-0.0,-6.978562425033161,-12.782992048994592,-0.0,-0.0
2031,-0.0,-7.7582840965621225,-11.99903797459918,-0.0,-0.0
2032,-0.0,-5.906493044685769,-0.0,-0.0,-0.0
2033,-0.0,-7.233179139488801,-0.0,-0.0,-0.0
2034,-0.0,-7.443006958470512,-0.0,-0.0,-0.0
2035,-0.0,-8.176719079117682,-0.0,-0.0,-0.0
2036,-0.0,-8.332319291611787,-0.0,-0.0,-0.0
2037,-0.0,-7.919405849831706,-0.0,-0.0,-0.0
2038,-0.0,-6.60569397012601,-0.0,-0.0,-0.0
2039,-0.0,-6.130183692711159,-0.0,-0.0,-0.0
2040,-0.0,-6.990909223453515,-0.0,-0.0,-0.0
2041,-0.0,-6.639024256889107,-0.0,-0.0,-0.0
2042,-0.0,-7.597373207043229,-0.0,-0.0,-0.0
2043,-0.0,-9.136258996750296,-0.0,-0.0,-0.0
2044,-0.0,-11.242902568952292,-0.0,-0.0,-0.0
2045,-0.0,-10.851350174216595,-0.0,-0.0,-0.0
2046,-0.0,-11.60862675659834,-0.0,-0.0,-0.0
2047,-0.0,-10.514755092799659,-0.0,-0.0,-0.0
2048,-0.0,-7.881680894438622,-0.0,-0.0,-0.0
2049,-0.0,-8.976933339234348,-10.905304857913677,-0.0,-0.0
2050,-0.0,-7.823046647172037,-12.782992048994592,-0.0,-0.0
2051,-0.0,-6.471601511124322,-12.782992048994592,-0.0,-0.0
2052,-0.0,-5.846696207301812,-12.782992048994592,-0.0,-0.48567465176583724
2053,-0.0,-6.070762594001428,-12.782992048994592,-0.0,-0.0
2054,-0.0,-6.399737022543305,-12.782992048994592,-0.0,-0.0
2055,-0.0,-7.583282104977936,-12.782992048994592,-0.0,-0.0
2056,-0.0,-5.6277180284926684,-0.0,-0.0,-0.0
2057,-0.0,-6.828789599357973,-0.0,-0.0,-0.0
2058,-0.0,-7.273528601382552,-0.0,-0.0,-0.0
2059,-0.0,-8.20521173564093,-0.0,-0.0,-0.0
2060,-0.0,-8.289772794429766,-0.0,-0.0,-0.0
2061,-0.0,-7.92811069007408,-0.0,-0.0,-0.0
2062,-0.0,-6.654319054579454,-0.0,-0.0,-0.0
2063,-0.0,-5.686841473663011,-0.0,-0.0,-0.0
2064,-0.0,-5.388936533770009,-0.0,-0.0,-0.0
2065,-0.0,-5.726985087782931,-0.0,-0.0,-0.0
2066,-0.0,-6.41872961033573,-0.0,-0.0,-0.0
2067,-0.0,-7.669489265553331,-0.0,-0.0,-0.0
2068,-0.0,-9.230906363082966,-0.0,-0.0,-0.0
2069,-0.0,-3.42001257080613,-0.0,-20.91827968877928,-0.0
2070,-0.0,-0.4079775914566365,-0.0,-31.851140463919965,-0.0
2071,-0.0,-11.668200408909499,-0.0,-0.0,-0.0
2072,-0.0,-8.657732388366409,-0.0,-0.0,-0.0
2073,-0.0,-8.086622199137317,-6.102914794925141,-0.0,-0.0
2074,-0.0,-7.959764609350328,-12.782992048994592,-0.0,-0.0
2075,-0.0,-6.6567165519794615,-12.782992048994592,-0.0,-0.0
2076,-0.0,-5.992716780867993,-12.782992048994592,-0.0,-0.11797200370348548
2077,-0.0,-5.98820355643535,-12.782992048994592,-0.0,-0.0
2078,-0.0,-6.394852413827956,-12.782992048994592,-0.0,-0.0
2079,-0.0,-7.351360766249643,-12.782992048994592,-0.0,-0.0
2080,-0.0,-5.286883755863977,-0.0,-0.0,-0.0
2081,-0.0,-6.558225069009172,-0.0,-0.0,-0.0
2082,-0.0,-6.934039139204248,-0.0,-0.0,-0.0
2083,-0.0,-7.58613356612482,-0.0,-0.0,-0.0
2084,-0.0,-7.583392070320388,-0.0,-0.0,-0.0
